| '''Hash''' || '''Implementation''' || '''Try Cycles (1536)''' || '''Empty Message''' || '''8 Bytes''' || '''64 Bytes''' || '''512 Bytes''' || '''1024 Bytes''' || '''2048 Bytes''' || '''Long Messages''' || '''WRIR [%]''' || '''ROM Usage''' || '''RAM Usage''' || '''Compiler''' || '''Version''' || '''Source''' 
|[wiki:ciphers_luffa512 <-] luffa512 [wiki:platformsciphers_lm3s811-evb_luffa512 ->] || [wiki:platformsimplementations_lm3s811-evb_luffa512_sphlib sphlib] || 238706 || 15029 || 1880 || 383 || 175 || 160 || 153 || 146 || 0.0 || 8472 || 900 || [wiki:compilernames arm-elf-gcc -O3] || 4.3.2 (GCC) || [wiki:runs_8 Run 8]
|[wiki:ciphers_cubehash832 <-] cubehash832 [wiki:platformsciphers_lm3s811-evb_cubehash832 ->] || [wiki:platformsimplementations_lm3s811-evb_cubehash832_unrolled unrolled] || 239029 || 53651 || 6751 || 959 || 225 || 173 || 147 || 121 || 0.0 || 1480 || 460 || [wiki:compilernames arm-elf-gcc -O3] || 4.3.2 (GCC) || [wiki:runs_8 Run 8]
|[wiki:ciphers_blake64 <-] blake64 [wiki:platformsciphers_lm3s811-evb_blake64 ->] || [wiki:platformsimplementations_lm3s811-evb_blake64_sphlib sphlib] || 240012 || 20095 || 2516 || 308 || 183 || 163 || 153 || 143 || 0.0 || 8536 || 920 || [wiki:compilernames arm-elf-gcc -O3] || 4.3.2 (GCC) || [wiki:runs_8 Run 8]
|[wiki:ciphers_echosp256 <-] echosp256 [wiki:platformsciphers_lm3s811-evb_echosp256 ->] || [wiki:platformsimplementations_lm3s811-evb_echosp256_generic_opt32 generic_opt32] || 252647 || 37998 || 4809 || 596 || 215 || 177 || 176 || 175 || 0.0 || 20520 || 904 || [wiki:compilernames arm-elf-gcc -O3] || 4.3.2 (GCC) || [wiki:runs_8 Run 8]
|[wiki:ciphers_cubehash1632 <-] cubehash1632 [wiki:platformsciphers_lm3s811-evb_cubehash1632 ->] || [wiki:platformsimplementations_lm3s811-evb_cubehash1632_sphlib sphlib] || 254988 || 46087 || 5762 || 858 || 226 || 181 || 158 || 136 || 0.0 || 19664 || 916 || [wiki:compilernames arm-elf-gcc -O2] || 4.3.2 (GCC) || [wiki:runs_8 Run 8]
|[wiki:ciphers_skein512 <-] skein512 [wiki:platformsciphers_lm3s811-evb_skein512 ->] || [wiki:platformsimplementations_lm3s811-evb_skein512_sphlib sphlib] || 286187 || 23632 || 2963 || 370 || 202 || 190 || 184 || 178 || 0.0 || 47536 || 916 || [wiki:compilernames arm-elf-gcc -O2] || 4.3.2 (GCC) || [wiki:runs_8 Run 8]
|[wiki:ciphers_simd256 <-] simd256 [wiki:platformsciphers_lm3s811-evb_simd256 ->] || [wiki:platformsimplementations_lm3s811-evb_simd256_sphlib sphlib] || 295861 || 12224 || 3013 || 375 || 209 || 197 || 191 || 185 || 0.0 || 17496 || 884 || [wiki:compilernames arm-elf-gcc -Os] || 4.3.2 (GCC) || [wiki:runs_8 Run 8]
|[wiki:ciphers_echo256 <-] echo256 [wiki:platformsciphers_lm3s811-evb_echo256 ->] || [wiki:platformsimplementations_lm3s811-evb_echo256_sphlib sphlib] || 322760 || 37096 || 4637 || 575 || 211 || 210 || 192 || 174 || 0.0 || 16336 || 836 || [wiki:compilernames arm-elf-gcc -O3] || 4.3.2 (GCC) || [wiki:runs_8 Run 8]
|[wiki:ciphers_hamsi <-] hamsi [wiki:platformsciphers_lm3s811-evb_hamsi ->] || [wiki:platformsimplementations_lm3s811-evb_hamsi_sphlib sphlib] || 329483 || 3874 || 696 || 272 || 220 || 216 || 214 || 212 || 0.0 || 39476 || 800 || [wiki:compilernames arm-elf-gcc -O2] || 4.3.2 (GCC) || [wiki:runs_8 Run 8]
|[wiki:ciphers_cubehash816 <-] cubehash816 [wiki:platformsciphers_lm3s811-evb_cubehash816 ->] || [wiki:platformsimplementations_lm3s811-evb_cubehash816_unrolled unrolled] || 358253 || 53650 || 6751 || 1037 || 303 || 251 || 225 || 198 || 0.0 || 1476 || 460 || [wiki:compilernames arm-elf-gcc -O3] || 4.3.2 (GCC) || [wiki:runs_8 Run 8]
|[wiki:ciphers_keccak256 <-] keccak256 [wiki:platformsciphers_lm3s811-evb_keccak256 ->] || [wiki:platformsimplementations_lm3s811-evb_keccak256_opt64u6 opt64u6] || 372799 || 32074 || 4032 || 504 || 245 || 243 || 242 || 241 || 0.0 || 48200 || 884 || [wiki:compilernames arm-elf-gcc -Os] || 4.3.2 (GCC) || [wiki:runs_5 Run 5]
|[wiki:ciphers_echosp512 <-] echosp512 [wiki:platformsciphers_lm3s811-evb_echosp512 ->] || [wiki:platformsimplementations_lm3s811-evb_echosp512_generic_opt32 generic_opt32] || 398955 || 46492 || 5870 || 729 || 263 || 261 || 238 || 214 || 0.0 || 20520 || 936 || [wiki:compilernames arm-elf-gcc -O3] || 4.3.2 (GCC) || [wiki:runs_8 Run 8]
|[wiki:ciphers_groestl256 <-] groestl256 [wiki:platformsciphers_lm3s811-evb_groestl256 ->] || [wiki:platformsimplementations_lm3s811-evb_groestl256_sphlib sphlib] || 445559 || 27059 || 3384 || 696 || 325 || 299 || 286 || 272 || 0.0 || 28056 || 888 || [wiki:compilernames arm-elf-gcc -O3] || 4.3.2 (GCC) || [wiki:runs_8 Run 8]
|[wiki:ciphers_jh256 <-] jh256 [wiki:platformsciphers_lm3s811-evb_jh256 ->] || [wiki:platformsimplementations_lm3s811-evb_jh256_bitslice_opt32 bitslice_opt32] || 447124 || 18334 || 4533 || 566 || 315 || 297 || 288 || 279 || 0.0 || 5164 || 416 || [wiki:compilernames arm-elf-gcc -O2] || 4.3.2 (GCC) || [wiki:runs_8 Run 8]
|[wiki:ciphers_jh224 <-] jh224 [wiki:platformsciphers_lm3s811-evb_jh224 ->] || [wiki:platformsimplementations_lm3s811-evb_jh224_bitslice_opt32 bitslice_opt32] || 447138 || 18349 || 4535 || 566 || 315 || 297 || 288 || 279 || 0.0 || 6876 || 412 || [wiki:compilernames arm-elf-gcc -O2] || 4.3.2 (GCC) || [wiki:runs_5 Run 5]
|[wiki:ciphers_jh384 <-] jh384 [wiki:platformsciphers_lm3s811-evb_jh384 ->] || [wiki:platformsimplementations_lm3s811-evb_jh384_bitslice_opt32 bitslice_opt32] || 447157 || 18367 || 4537 || 566 || 315 || 297 || 288 || 279 || 0.0 || 6876 || 432 || [wiki:compilernames arm-elf-gcc -O2] || 4.3.2 (GCC) || [wiki:runs_8 Run 8]
|[wiki:ciphers_jh512 <-] jh512 [wiki:platformsciphers_lm3s811-evb_jh512 ->] || [wiki:platformsimplementations_lm3s811-evb_jh512_bitslice_opt32 bitslice_opt32] || 447177 || 18387 || 4539 || 566 || 315 || 297 || 288 || 279 || 0.0 || 5164 || 448 || [wiki:compilernames arm-elf-gcc -O2] || 4.3.2 (GCC) || [wiki:runs_8 Run 8]
|[wiki:ciphers_fugue512 <-] fugue512 [wiki:platformsciphers_lm3s811-evb_fugue512 ->] || [wiki:platformsimplementations_lm3s811-evb_fugue512_sphlib sphlib] || 479769 || 125630 || 15963 || 2197 || 476 || 353 || 292 || 230 || 0.0 || 14728 || 916 || [wiki:compilernames arm-elf-gcc -O2] || 4.3.2 (GCC) || [wiki:runs_8 Run 8]
|[wiki:ciphers_echo512 <-] echo512 [wiki:platformsciphers_lm3s811-evb_echo512 ->] || [wiki:platformsimplementations_lm3s811-evb_echo512_sphlib sphlib] || 541323 || 42782 || 5348 || 664 || 408 || 366 || 345 || 325 || 0.0 || 15180 || 888 || [wiki:compilernames arm-elf-gcc -O2] || 4.3.2 (GCC) || [wiki:runs_5 Run 5]
|[wiki:ciphers_cubehash88 <-] cubehash88 [wiki:platformsciphers_lm3s811-evb_cubehash88 ->] || [wiki:platformsimplementations_lm3s811-evb_cubehash88_unrolled unrolled] || 596797 || 53649 || 7062 || 1192 || 458 || 406 || 380 || 354 || 0.0 || 1472 || 460 || [wiki:compilernames arm-elf-gcc -O3] || 4.3.2 (GCC) || [wiki:runs_8 Run 8]
|[wiki:ciphers_cubehash1616 <-] cubehash1616 [wiki:platformsciphers_lm3s811-evb_cubehash1616 ->] || [wiki:platformsimplementations_lm3s811-evb_cubehash1616_unrolled unrolled] || 628739 || 102198 || 12820 || 1940 || 542 || 443 || 393 || 343 || 0.0 || 1472 || 460 || [wiki:compilernames arm-elf-gcc -O3] || 4.3.2 (GCC) || [wiki:runs_8 Run 8]
|[wiki:ciphers_groestl512 <-] groestl512 [wiki:platformsciphers_lm3s811-evb_groestl512 ->] || [wiki:platformsimplementations_lm3s811-evb_groestl512_sphlib sphlib] || 686979 || 78254 || 9784 || 1217 || 550 || 473 || 434 || 396 || 0.0 || 37264 || 916 || [wiki:compilernames arm-elf-gcc -O2] || 4.3.2 (GCC) || [wiki:runs_8 Run 8]
|[wiki:ciphers_keccak512 <-] keccak512 [wiki:platformsciphers_lm3s811-evb_keccak512 ->] || [wiki:platformsimplementations_lm3s811-evb_keccak512_sphlib-small sphlib-small] || 733676 || 36176 || 4529 || 564 || 525 || 490 || 472 || 454 || 0.0 || 10564 || 916 || [wiki:compilernames arm-elf-gcc -Os] || 4.3.2 (GCC) || [wiki:runs_8 Run 8]
|[wiki:ciphers_cubehash84 <-] cubehash84 [wiki:platformsciphers_lm3s811-evb_cubehash84 ->] || [wiki:platformsimplementations_lm3s811-evb_cubehash84_unrolled unrolled] || 1073888 || 53650 || 7372 || 1502 || 769 || 717 || 690 || 664 || 0.0 || 1476 || 460 || [wiki:compilernames arm-elf-gcc -O3] || 4.3.2 (GCC) || [wiki:runs_8 Run 8]
|[wiki:ciphers_cubehash168 <-] cubehash168 [wiki:platformsciphers_lm3s811-evb_cubehash168 ->] || [wiki:platformsimplementations_lm3s811-evb_cubehash168_unrolled unrolled] || 1089223 || 102199 || 13419 || 2239 || 842 || 742 || 692 || 643 || 0.0 || 1476 || 460 || [wiki:compilernames arm-elf-gcc -O3] || 4.3.2 (GCC) || [wiki:runs_8 Run 8]
|[wiki:ciphers_cubehash164 <-] cubehash164 [wiki:platformsciphers_lm3s811-evb_cubehash164 ->] || [wiki:platformsimplementations_lm3s811-evb_cubehash164_unrolled unrolled] || 2010188 || 102199 || 14019 || 2839 || 1442 || 1342 || 1292 || 1242 || 0.0 || 1476 || 459 || [wiki:compilernames arm-elf-gcc -O3] || 4.3.2 (GCC) || [wiki:runs_5 Run 5]
|[wiki:ciphers_cubehash82 <-] cubehash82 [wiki:platformsciphers_lm3s811-evb_cubehash82 ->] || [wiki:platformsimplementations_lm3s811-evb_cubehash82_unrolled unrolled] || 2028067 || 53650 || 7994 || 2124 || 1390 || 1338 || 1312 || 1285 || 0.0 || 1476 || 460 || [wiki:compilernames arm-elf-gcc -O3] || 4.3.2 (GCC) || [wiki:runs_5 Run 5]
|[wiki:ciphers_cubehash162 <-] cubehash162 [wiki:platformsciphers_lm3s811-evb_cubehash162 ->] || [wiki:platformsimplementations_lm3s811-evb_cubehash162_unrolled unrolled] || 3852119 || 102199 || 15218 || 4038 || 2641 || 2541 || 2491 || 2441 || 0.0 || 1476 || 460 || [wiki:compilernames arm-elf-gcc -O3] || 4.3.2 (GCC) || [wiki:runs_5 Run 5]
|[wiki:ciphers_cubehash81 <-] cubehash81 [wiki:platformsciphers_lm3s811-evb_cubehash81 ->] || [wiki:platformsimplementations_lm3s811-evb_cubehash81_unrolled unrolled] || 3936426 || 53650 || 9236 || 3366 || 2633 || 2580 || 2554 || 2528 || 0.0 || 1476 || 460 || [wiki:compilernames arm-elf-gcc -O3] || 4.3.2 (GCC) || [wiki:runs_5 Run 5]
|[wiki:ciphers_cubehash161 <-] cubehash161 [wiki:platformsciphers_lm3s811-evb_cubehash161 ->] || [wiki:platformsimplementations_lm3s811-evb_cubehash161_unrolled unrolled] || 7535980 || 102198 || 17616 || 6437 || 5039 || 4940 || 4890 || 4840 || 0.0 || 1476 || 460 || [wiki:compilernames arm-elf-gcc -O3] || 4.3.2 (GCC) || [wiki:runs_5 Run 5]
